1,0,9.01961,30.3
2,0,100,2.2
3,3,100,5.2
1,8,9.01961,30.3
2,13,100,2.2
3,17,100,5.2
1,20,9.01961,30.3
2,24,100,2.2
3,25,100,5.2
1,33,9.01961,30.3
3,33,100,5.2
2,37,100,2.2
1,41,9.01961,30.5
3,45,100,5.2
2,45,100,2.2
1,53,9.01961,30.3
3,53,100,5.2
2,58,100,2.2
3,66,100,5.2
1,66,9.01961,30.3
2,70,100,2.1
3,75,100,5.3
1,75,9.01961,30.3
2,79,100,2.2
3,81,100,5.2
1,86,9.01961,30.3
2,89,100,2.2
3,95,100,5.2
1,98,9.01961,30.3
2,98,100,2.2
3,102,100,5.3
1,106,9.01961,30.8
2,111,100,2.2
3,115,100,5.2
1,119,9.01961,30.3
2,122,100,2.2
3,126,100,5.2
1,132,9.01961,30.3
2,132,100,2.2
3,136,100,5.2
1,139,9.01961,30.3
2,144,100,2.2
3,147,100,5.2
1,151,9.01961,30.3
1,164,9.01961,30.8
2,164,100,2.2
3,168,100,5.2
1,172,9.01961,30.3
2,176,100,2.1
3,176,100,5.3
1,185,9.01961,30.3
2,189,100,2.2
3,189,100,5.2
1,196,9.01961,30.3
3,196,100,5.2
2,196,100,2.2
3,204,100,5.2
1,204,9.01961,30.3
2,209,99.6078,2.2
3,217,100,5.2
1,217,9.01961,30.3
2,222,100,2.2
3,226,100,5.2
1,229,9.01961,30.3
2,229,100,2.2
3,238,100,5.2
1,238,9.01961,30.3
2,242,100,2.2
3,245,100,5.2
1,251,9.01961,30.3
2,254,100,2.2
3,254,100,5.2
1,263,9.01961,30.3
2,263,100,2.2
3,267,100,5.2
1,271,9.01961,30.3
2,274,100,2.2
3,274,100,5.2
1,282,9.01961,30.3
2,286,100,2.2
3,286,100,5.2
1,295,9.01961,30.3
2,295,100,2.2
3,298,100,5.3
1,303,9.01961,30.3
3,307,100,5.2
2,308,100,2.1
1,315,9.01961,30.3
3,315,100,5.2
2,319,99.6078,2.2
3,328,100,5.2
1,328,9.01961,30.3
2,329,100,2.2
3,336,100,5.2
1,336,9.01961,30.3
2,341,100,2.2
3,348,100,5.2
1,348,9.01961,30.5
2,353,100,2.2
3,357,100,5.2
1,361,9.01961,30.3
2,361,100,2.2
3,365,100,5.3
1,373,9.01961,30.3
2,373,100,2.2
3,376,100,5.3
1,382,9.01961,30.8
2,384,100,2.2
3,384,100,5.2
1,394,9.01961,30.3
2,394,100,2.2
3,398,100,5.2
1,405,9.01961,30.3
2,405,100,2.1
3,405,100,5.2
1,413,9.01961,30.3
2,417,100,2.2
3,417,100,5.2
1,427,9.01961,30.3
2,427,100,2.2
3,431,100,5.2
1,438,9.01961,30.3
3,438,100,5.2
2,438,100,2.2
3,447,100,5.2
1,447,9.01961,30.3
2,450,100,2.2
3,454,100,5.3
1,458,9.01961,30.3
2,460,100,2.1
3,467,100,5.2
1,467,9.01961,30.5
2,472,100,2.2
3,480,100,5.2
1,480,9.01961,30.3
2,483,100,2.2
3,488,100,5.2
1,491,9.01961,30.3
2,492,100,2.2
3,496,100,5.3
1,500,9.01961,30.3
2,503,100,2.2
3,508,100,5.2
1,513,9.41177,30.1
2,516,100,2.2
3,516,100,5.3
1,525,9.41177,31
2,526,100,2.2
3,534,100,5.4
1,534,9.41177,31.4
2,538,99.6078,2.2
3,545,100,5.4
1,545,9.41177,31.6
2,549,100,2.2
3,549,100,5.4
1,557,9.41177,31.8
3,557,100,5.4
2,562,100,2.2
3,570,100,5.5
1,570,9.41177,31.8
2,570,100,2.2
3,578,100,5.5
1,578,9.41177,31.8
2,584,100,2.2
3,590,100,5.5
1,590,9.41177,31.8
2,593,100,2.3
3,599,100,5.5
1,603,9.41177,31.8
2,603,100,2.2
3,606,100,5.5
1,610,9.41177,32
2,614,100,2.2
3,618,100,5.5
1,623,9.41177,31.8
2,626,100,2.3
3,627,100,5.5
1,635,9.41177,31.8
2,636,100,2.2
3,638,100,5.5
1,642,9.41177,31.8
2,647,100,2.2
3,647,100,5.5
1,655,9.41177,31.8
2,656,100,2.3
3,659,100,5.5
1,667,9.41177,32
2,668,100,2.2
3,672,100,5.5
1,676,9.41177,31.8
2,680,100,2.2
3,680,100,5.5
1,688,9.41177,31.8
2,688,100,2.2
3,691,100,5.5
1,701,9.41177,32
2,701,100,2.2
3,705,100,5.5
1,708,9.41177,31.8
3,710,100,5.5
2,715,100,2.2
1,721,9.41177,31.8
3,721,100,5.5
2,724,100,2.2
1,734,9.41177,31.8
3,734,100,5.5
2,735,100,2.2
3,741,100,5.5
1,742,9.41177,31.8
2,748,99.6078,2.2
3,754,100,5.5
1,754,9.41177,32
2,758,100,2.2
3,762,100,5.5
1,765,9.41177,32
2,765,100,2.2
3,773,100,5.5
1,773,9.41177,32
2,777,100,2.3
3,782,100,5.5
1,787,9.41177,31.8
2,791,100,2.2
3,794,100,5.5
1,799,9.41177,31.8
2,799,100,2.2
3,803,100,5.5
1,806,9.41177,31.8
2,810,100,2.2
3,815,100,5.5
1,819,9.41177,31.8
2,823,100,2.2
3,823,100,5.5
1,831,9.41177,32
2,831,100,2.2
3,831,100,5.5
1,839,9.01961,32.2
2,844,100,2.2
3,844,100,5.5
1,852,9.41177,31.2
2,852,99.6078,2.2
3,855,100,5.4
1,864,9.41177,31.4
2,865,100,2.2
3,869,100,5.4
1,872,9.41177,31.6
3,872,100,5.5
2,878,100,2.2
3,885,100,5.5
1,885,9.41177,31.8
2,885,100,2.2
3,892,100,5.5
1,897,9.41177,31.8
2,898,100,2.2
3,905,100,5.5
1,905,9.41177,32.2
2,909,100,2.2
3,915,100,5.5
1,918,9.41177,31.8
2,918,100,2.2
3,925,100,5.5
1,929,9.41177,32
2,931,100,2.3
3,937,100,5.5
1,937,9.01961,32.2
2,942,100,2.2
3,951,100,5.5
1,951,9.01961,31.2
2,954,100,2.2
3,954,100,5.4
1,963,9.01961,30.8
2,963,100,2.2
3,967,100,5.4
1,970,9.01961,30.5
2,974,100,2.2
3,974,100,5.3
1,982,9.01961,30.5
2,986,100,2.2
3,986,100,5.3
1,996,9.01961,30.8
2,996,100,2.2
